concept_id,code,source,datatype,source_code
159958,131196009,"SNOMED NP",Coded,"131196009SNOMED NP"
374,13197004,"SNOMED CT",Coded,"13197004SNOMED CT"
1319,1319,AMPATH,Numeric,1319AMPATH
1319,1319,CIEL,Numeric,1319CIEL
1343,1343,AMPATH,Numeric,1343AMPATH
1343,1343,CIEL,Numeric,1343CIEL
159392,1345,PIH,N/A,1345PIH
1855,135815002,"SNOMED CT",Boolean,"135815002SNOMED CT"
161601,135891007,"SNOMED NP",Coded,"135891007SNOMED NP"
159395,1364,PIH,Text,1364PIH
1379,13791000105006,"SNOMED MVP",Coded,"13791000105006SNOMED MVP"
1379,1379,CIEL,Coded,1379CIEL
1473,1392,PIH,Text,1392PIH
1409,1409,CIEL,Numeric,1409CIEL
1410,1410,CIEL,Date,1410CIEL
141814,141814,CIEL,Coded,141814CIEL
1418,1418,CIEL,Numeric,1418CIEL
1425,1425,CIEL,Numeric,1425CIEL
1427,1427,CIEL,Date,1427CIEL
160534,1428,PIH,Date,1428PIH
121689,142,AMPATH,N/A,142AMPATH
1436,14361000105003,"SNOMED MVP",Coded,"14361000105003SNOMED MVP"
1436,1436,CIEL,Coded,1436CIEL
1442,1442,CIEL,N/A,1442CIEL
1443,1443,CIEL,Numeric,1443CIEL
1444,1444,CIEL,Text,1444CIEL
307,1444,PIH,Coded,1444PIH
1542,14679004,"SNOMED CT",Coded,"14679004SNOMED CT"
790,14682-9,LOINC,Numeric,14682-9LOINC
1473,1473,CIEL,Text,1473CIEL
32,1476,PIH,Coded,1476PIH
1619,1478,PIH,Coded,1478PIH
302,1479,PIH,Coded,1479PIH
5356,1480,PIH,Coded,1480PIH
299,14904-7,LOINC,Coded,14904-7LOINC
857,14937-7,LOINC,Numeric,14937-7LOINC
159599,1499,AMPATH,Date,1499AMPATH
1191,1500,PIH,Date,1500PIH
1086,1501,PIH,Coded,1501PIH
152460,152460,CIEL,Coded,152460CIEL
121760,1528671,"IMO ProblemIT",N/A,"1528671IMO ProblemIT"
5619,1538,PIH,Coded,1538PIH
1542,1542,CIEL,Coded,1542CIEL
302,1542,PIH,Coded,1542PIH
1543,1543,CIEL,Date,1543CIEL
159449,1552,PIH,Coded,1552PIH
299,1559958,"IMO ProcedureIT",Coded,"1559958IMO ProcedureIT"
1560,1560,CIEL,Coded,1560CIEL
1543,1570,AMPATH,Date,1570AMPATH
1572,1572,CIEL,Coded,1572CIEL
158728,158728,CIEL,N/A,158728CIEL
1587,1587,CIEL,Coded,1587CIEL
1425,15901000105004,"SNOMED MVP",Numeric,"15901000105004SNOMED MVP"
159098,159098,CIEL,Coded,159098CIEL
159368,159368,CIEL,Numeric,159368CIEL
159376,1593761000105001,"SNOMED MVP",Date,"1593761000105001SNOMED MVP"
159376,159376,CIEL,Date,159376CIEL
159392,159392,CIEL,N/A,159392CIEL
159395,1593951000105000,"SNOMED MVP",Text,"1593951000105000SNOMED MVP"
159395,159395,CIEL,Text,159395CIEL
159423,159423,CIEL,Coded,159423CIEL
159427,1594271000105002,"SNOMED MVP",Coded,"1594271000105002SNOMED MVP"
159427,159427,CIEL,Coded,159427CIEL
159449,1594491000105002,"SNOMED MVP",Coded,"1594491000105002SNOMED MVP"
159449,159449,CIEL,Coded,159449CIEL
159495,159495,CIEL,Text,159495CIEL
159599,1595991000105005,"SNOMED MVP",Date,"1595991000105005SNOMED MVP"
159599,159599,CIEL,Date,159599CIEL
159615,159615,CIEL,Coded,159615CIEL
159616,159616,CIEL,Numeric,159616CIEL
159707,159707,CIEL,Coded,159707CIEL
159734,159734,CIEL,Coded,159734CIEL
159777,159777,CIEL,Coded,159777CIEL
159786,1597861000105004,"SNOMED MVP",Coded,"1597861000105004SNOMED MVP"
159786,159786,CIEL,Coded,159786CIEL
159787,159787,CIEL,Date,159787CIEL
159811,159811,CIEL,Coded,159811CIEL
159871,159871,CIEL,Coded,159871CIEL
159891,159891,CIEL,Coded,159891CIEL
159917,159917,CIEL,Coded,159917CIEL
159935,159935,CIEL,Coded,159935CIEL
159936,159936,CIEL,Coded,159936CIEL
159941,159941,CIEL,Coded,159941CIEL
159947,159947,CIEL,N/A,159947CIEL
159948,159948,CIEL,Date,159948CIEL
159951,159951,CIEL,Datetime,159951CIEL
159958,159958,CIEL,Coded,159958CIEL
159960,159960,CIEL,N/A,159960CIEL
159961,159961,CIEL,Coded,159961CIEL
159964,159964,CIEL,Datetime,159964CIEL
159981,159981,CIEL,N/A,159981CIEL
159982,159982,CIEL,Coded,159982CIEL
160040,160040,CIEL,Coded,160040CIEL
160080,160080,CIEL,Numeric,160080CIEL
160082,160082,CIEL,Date,160082CIEL
160108,160108,CIEL,Coded,160108CIEL
160119,160119,CIEL,Coded,160119CIEL
160557,160244002,"SNOMED CT",Boolean,"160244002SNOMED CT"
160246,160246,CIEL,Coded,160246CIEL
152460,160280002,"SNOMED CT",Coded,"160280002SNOMED CT"
160288,160288,CIEL,Coded,160288CIEL
160429,160429,CIEL,Boolean,160429CIEL
160430,160430,CIEL,Text,160430CIEL
160433,160433,CIEL,Coded,160433CIEL
163089,160476009,"SNOMED NP",Coded,"160476009SNOMED NP"
160525,160525,CIEL,N/A,160525CIEL
160531,160531,CIEL,Text,160531CIEL
160533,160533,CIEL,Boolean,160533CIEL
160534,160534,CIEL,Date,160534CIEL
160535,160535,CIEL,Text,160535CIEL
160540,160540,CIEL,Coded,160540CIEL
160553,160553,CIEL,Coded,160553CIEL
160554,160554,CIEL,Date,160554CIEL
160555,160555,CIEL,Date,160555CIEL
160557,160557,CIEL,Boolean,160557CIEL
160562,160562,CIEL,Coded,160562CIEL
160563,160563,CIEL,Coded,160563CIEL
160568,160568,CIEL,Coded,160568CIEL
160575,160575,CIEL,Coded,160575CIEL
